latitude,longitude,distance_min,count_radius,avg_magnitude,label
38.58242678012123,37.398795451805356,56.5744621432912,0,0.0,0
38.91329598777643,33.711724984010225,17.02354133658925,2,5.28,0
41.41176238721192,38.69805081630956,111.67425901245782,0,0.0,0
39.265599535121986,34.50290128565543,54.7838444439413,0,0.0,0
37.525449918445716,43.18782835398834,21.765049059841704,2,4.82,0
39.79965027831464,36.312890332717906,52.859859713494295,0,0.0,0
36.7992502811961,26.57432917556726,16.432942188746868,15,5.228666666666666,1
41.40356210692882,32.39788260607272,47.03895496628085,2,6.335,0
39.30766758579559,30.367357478222658,27.211817311386923,6,5.276666666666666,0
36.59497177134352,31.696540267229427,38.88753291655522,1,4.2,0
38.30477173577039,43.20638228670791,14.139275588531373,6,5.168333333333334,0
38.20266200305215,44.45384971131384,21.919486951219007,10,5.541000000000001,1
40.102445603363655,26.50052809622648,30.67155752869438,8,4.901249999999999,0
39.76045567729697,31.918922826407673,35.24262945858797,1,4.6,0
39.521640980968016,31.927623123260645,15.307373920151381,1,4.6,0
37.70511880543086,27.590562583539654,15.332223676804265,8,5.661250000000001,0
40.18140707700711,28.58570266148365,16.17727839132096,6,5.553333333333334,0
40.041617629826284,30.87104008333342,32.589051434311656,1,6.23,0
36.16194128285103,35.06230139693408,47.79139774117747,1,5.84,0
40.01805298628617,38.09282165178425,7.604027514014252,4,5.620000000000001,0
40.27492917541661,27.151069783024578,26.52378796833433,5,5.844,0
39.724978154125246,34.02980265261337,22.549309898462965,5,5.62,0
37.55156176677639,42.24516484903559,63.4304229302651,0,0.0,0
39.7152664356638,29.519284115783236,3.4449750034027553,13,5.583076923076923,1
36.25536582335984,31.27134335688026,19.076960111909074,7,5.135714285714286,0
37.80846746867164,40.96800060354769,54.958999047621255,0,0.0,0
40.479547235422736,29.15863330434247,22.14430496896597,4,5.3275,0
38.811882977448256,43.69940708286529,26.286098384183887,6,5.47,0
36.73193705259825,40.74153173222577,168.48613298395506,0,0.0,0
37.35830042400894,34.93969156281415,60.306821624253246,0,0.0,0
